date,symbol,open,high,low,close,volume,amount,outstanding_share,turnover,last_trade_date,K,D,J,BBI,BBI_DIF,DIF,DEA,MACD,short_term_fund,long_term_fund,Short_LS,Short_Trend,yw_long,market_cap,float_market_cap,pe_ttm,pe_static,pb,peg,pcf,ps
2025-01-03,000001,10.83,11.02,10.44,10.46,580149112.0,6781578226.0,19405571850.0,0.029895990609265802,2026-07-24,44.72148295453659,46.041363661714485,42.08172154018081,10.506979166666664,-0.005312499999998721,0.37197666282461483,0.39427354559748845,-0.022296882772873616,4.545454545454839,74.79338842975208,9.88,10.36,1,220839349093.24,220835407653.0,4.74423401,4.96178999,0.51975163,-1.22960996,1.94248651,1.48566301
2025-01-10,000001,10.46,10.69,10.32,10.39,444540200.0,5079074951.0,19405571850.0,0.0229078639597005,2026-07-24,35.838418355233244,42.640381892887405,22.234491279924924,10.479895833333332,-0.027083333333331794,0.3348432101413863,0.38238747850626803,-0.04754426836488174,12.500000000000039,71.900826446281,9.89,10.39,1,219286875637.4,219282961905.0,4.71088263,4.92690922,0.51609784,-1.22096595,1.92883107,1.47521898
2025-01-17,000001,10.34,10.66,10.19,10.53,435395480.0,4963695528.0,19405571850.0,0.0224366219849375,2026-07-24,36.77106678227669,40.68394352268383,28.945313301462406,10.45239583333333,-0.027500000000001634,0.313102263336674,0.3685304354723492,-0.05542817213567519,100.0,77.6859504132231,9.92,10.41,1,222197763367.1,222193797682.5,4.77341647,4.99231067,0.5229487,-1.23717346,1.95443502,1.49480153
2025-01-24,000001,10.57,10.59,10.19,10.43,554109177.0,6267861520.0,19405571850.0,0.0285541277156434,2026-07-24,33.81637010291314,38.39475238276027,24.659605543218888,10.454374999999997,0.001979166666666643,0.2845234330670383,0.35172903499128705,-0.06720560192424874,70.58823529411774,73.55371900826444,9.93,10.43,1,220063112365.32,220059184779.0,4.72755832,4.94434961,0.51792474,-1.22528795,1.93565879,1.48044099
2025-01-31,000001,10.46,10.62,10.46,10.55,115193471.0,1324270607.0,19405571850.0,0.0059361028827398,2026-07-24,36.49773510736848,37.762413290963,33.96837874017943,10.47239583333333,0.01802083333333293,0.26846282891769846,0.3350757937765693,-0.06661296485887086,100.0,78.51239669421489,9.95,10.45,1,222585881731.06,222581909119.5,4.78175432,5.00103086,0.52386214,-1.23933447,1.95784888,1.49741254
2025-02-07,000001,10.57,10.59,10.39,10.46,320652957.0,3647608735.0,19405571850.0,0.0165237571702891,2026-07-24,34.796939683982124,36.77392208863605,30.842974874674283,10.458645833333332,-0.013749999999998153,0.24564084186146218,0.3171888033935479,-0.0715479615320857,75.00000000000013,74.3697478991597,9.98,10.46,1,220839349093.24,220835407653.0,4.74423401,4.96178999,0.51975163,-1.22960996,1.94248651,1.48566301
2025-02-14,000001,10.46,10.62,10.43,10.62,519161480.0,5942299380.0,19405571850.0,0.0267532172724917,2026-07-24,39.86462645598805,37.80415687775338,43.98556561245739,10.501770833333332,0.04312499999999986,0.23772457460245633,0.30129595763532957,-0.06357138303287324,100.0,79.45205479452049,10.0,10.47,1,224138355186.9,224134354867.5,4.8151057,5.03591164,0.52751593,-1.24797847,1.97150432,1.50785657
2025-02-21,000001,10.67,11.0,10.62,10.7,699469010.0,8214949975.0,19405571850.0,0.036044751239835,2026-07-24,46.34385949779045,40.65072441776574,57.73012965783987,10.549166666666665,0.04739583333333286,0.23519502532998793,0.28807577117426125,-0.052880745844273325,100.0,57.95454545454538,10.04,10.49,1,225884887824.72,225880856334.0,4.852626,5.07515251,0.53162645,-1.25770298,1.9868667,1.5196061
2025-02-28,000001,10.69,10.75,10.54,10.6,463515552.0,5360597048.0,19405571850.0,0.023885694046166202,2026-07-24,47.36176978567556,42.88773954040234,56.309830276222,10.580729166666664,0.031562499999999716,0.22255569156574673,0.27497175525255835,-0.05241606368681162,62.96296296296303,46.590909090909065,10.07,10.5,1,223750236822.94,223746243430.5,4.80676785,5.02719144,0.52660249,-1.24581747,1.96809046,1.50524556
2025-03-07,000001,10.59,10.76,10.52,10.73,430722552.0,4990623728.0,19405571850.0,0.0221958185684693,2026-07-24,53.796735412672625,46.524071497825766,68.34206324236634,10.623437499999998,0.04270833333333357,0.22048720281523515,0.2640748447650937,-0.043587641949858535,100.0,61.36363636363642,10.09,10.52,1,226467065370.66,226463023489.5,4.86513277,5.0882328,0.53299662,-1.26094448,1.99198749,1.52352261
2025-03-14,000001,10.72,11.03,10.59,11.01,618491646.0,7297499959.0,19405571850.0,0.0318718588032743,2026-07-24,68.40417281479763,53.817438603483055,97.5776412374268,10.682916666666666,0.05947916666666764,0.23869009963104304,0.2589978957382836,-0.02030779610724054,100.0,100.0,10.13,10.55,1,232288840830.06,232284695044.5,4.99020045,5.2190357,0.54669833,-1.29335951,2.04319539,1.56268772
2025-03-21,000001,10.69,10.73,10.47,10.5,1004890322.0,11573476372.0,19405571850.0,0.0517835975032087,2026-07-24,57.904369178119076,55.179748795028395,63.35360994430043,10.663229166666667,-0.01968749999999808,0.20954775269606607,0.24910786712984007,-0.039560114433773996,5.555555555555446,37.80487804878054,10.15,10.56,1,221615585821.16,221611630527.0,4.97923038,4.97923038,0.52157853,-1.23393196,3.49904613,1.51072351
2025-03-28,000001,10.49,10.52,10.43,10.44,383934424.0,4370527239.0,19405571850.0,0.0197847518726945,2026-07-24,41.207079452079334,50.522192347378706,22.576853661480584,10.627604166666666,-0.03562500000000135,0.17954109623480363,0.23519451295083277,-0.055653416716029136,1.7241379310344458,30.48780487804877,10.17,10.57,1,220257171547.3,220253240497.5,4.9487097,4.9487097,0.51838146,-1.22636846,3.47759839,1.50146339
2025-04-04,000001,10.44,10.49,10.32,10.43,337415173.0,3819145443.0,19405571850.0,0.0173875408366282,2026-07-24,32.63570555021249,44.560030081656635,8.787056487324207,10.562187499999999,-0.06541666666666757,0.15318783437786365,0.21879317723623895,-0.0656053428583753,61.111111111110894,29.268292682926845,10.18,10.57,1,220063112365.32,220059184779.0,4.94434961,4.94434961,0.50454791,-1.22528795,3.47453443,1.50014051
2025-04-11,000001,10.11,10.16,9.64,10.01,652436931.0,7050548492.0,19405571850.0,0.0336211133607998,2026-07-24,30.63003871213206,39.916699625148446,12.05671688609928,10.478020833333332,-0.0841666666666665,0.09729068808677965,0.1944926794063471,-0.09720199131956744,46.249999999999964,27.007299270072952,10.17,10.55,1,211330449176.22,211326677446.5,4.74814526,4.74814526,0.48452617,-1.17666542,3.33665608,1.44061113
2025-04-18,000001,10.07,10.29,10.02,10.28,390258718.0,4293641402.0,19405571850.0,0.0201106528071728,2026-07-24,35.76774763062999,38.53371562697563,30.23581163793871,10.440416666666666,-0.03760416666666622,0.0739263633506102,0.17037941619519972,-0.09645305284458952,81.01265822784804,46.71532846715322,10.16,10.53,1,216958165453.64,216954293283.0,4.87458806,4.87458806,0.49742907,-1.20799994,3.42551101,1.47897451
2025-04-25,000001,10.11,10.23,10.09,10.12,385849897.0,4255278424.0,19405571850.0,0.0198834592447217,2026-07-24,35.355956453993116,37.47446256931479,31.11894422334977,10.361666666666666,-0.07874999999999943,0.04201498227981659,0.14470652941212309,-0.1026915471323065,74.99999999999993,35.036496350364885,10.15,10.5,1,213659159359.98,213655346068.5,4.89236031,4.80046642,0.4898653,-1.18963143,0.86269768,1.50853015
2025-05-02,000001,10.11,10.15,10.01,10.03,216089823.0,2369223749.0,19405571850.0,0.0111354524705746,2026-07-24,32.9231556216069,35.95736025341216,26.85474635799639,10.3296875,-0.031979166666666003,0.009354897597230405,0.11763620304914454,-0.10828130545191414,7.407407407407261,28.46715328467146,10.13,10.47,1,211718567540.18,211714788883.5,4.8479247,4.75686545,0.48541602,-1.17882642,0.8548621,1.4948287
2025-05-09,000001,10.04,10.27,10.01,10.25,403745241.0,4456911912.0,19405571850.0,0.0208056348001925,2026-07-24,36.577067776514916,36.16392942777975,37.40334447398524,10.3103125,-0.019375000000000142,0.0012097611923866936,0.09435091467779297,-0.09314115348540628,100.0,44.525547445255455,10.13,10.44,1,216375987907.7,216372126127.5,4.95457016,4.86150777,0.49609429,-1.20475844,0.8736675,1.52771219
2025-05-16,000001,10.26,10.57,10.23,10.46,579035351.0,6556931614.0,19405571850.0,0.0298386131300735,2026-07-24,49.461164450398336,40.59634110198595,67.1908111472231,10.334895833333333,0.02458333333333229,0.011566594365886473,0.07779405061541167,-0.0662274562495252,100.0,59.8540145985402,10.14,10.42,1,220839349093.24,220835407653.0,5.05677205,4.96178999,0.50632762,-1.22960996,0.89168934,1.55922553
2025-05-23,000001,10.48,10.67,10.44,10.54,476891467.0,5476590344.0,19405571850.0,0.0245749762329212,2026-07-24,62.10032322583188,47.76433514326792,90.77229939095979,10.396354166666667,0.06145833333333428,0.025930875691381416,0.06742141563060562,-0.041490539939224205,100.0,65.69343065693424,10.14,10.41,1,222391822549.08,222387853401.0,5.09232054,4.99667077,0.50988704,-1.23825396,0.89795781,1.5701867
2025-05-30,000001,10.52,10.65,10.48,10.63,420990926.0,4840139385.0,19405571850.0,0.0216943323935077,2026-07-24,73.43905043534426,56.32257357396003,107.67200415811271,10.440520833333334,0.044166666666667354,0.04406892088154102,0.0627509166807927,-0.018681995799251686,100.0,72.2627737226278,10.14,10.41,1,224332414368.88,224328410586.0,5.13675615,5.04027173,0.51433632,-1.24905897,0.90579339,1.58388815
2025-06-06,000001,10.61,10.95,10.6,10.76,520959516.0,6133094643.0,19405571850.0,0.0268458729290163,2026-07-24,77.45809469226513,63.367747280061735,105.63878951667192,10.4878125,0.04729166666666629,0.06814780049341351,0.06383029344331687,0.004317507050096647,100.0,81.75182481751823,10.16,10.42,1,227049242916.6,227045190645.0,5.19896599,5.10131309,0.52056531,-1.26418598,0.91676321,1.60307019
2025-06-13,000001,10.78,11.13,10.71,10.98,568176778.0,6665827977.0,19405571850.0,0.029279053582747,2026-07-24,80.50777741389103,69.08109065800484,103.36115092566342,10.575104166666666,0.08729166666666544,0.10378626400136604,0.0718214875549267,0.03196477644643933,100.0,97.81021897810224,10.18,10.45,1,224720532732.84,224716522023.0,5.14564327,5.04899193,0.51522617,-1.25121997,0.90736051,1.58662844
2025-06-20,000001,10.97,11.27,10.93,11.23,488943170.0,5741579767.0,19405571850.0,0.0251960196679282,2026-07-24,85.94698388439299,74.7030550668009,108.43484151957719,10.690416666666666,0.11531249999999993,0.15046840761584335,0.08755087156711003,0.06291753604873332,100.0,100.00000000000001,10.19,10.49,1,229766071464.32,229761970704.0,5.26117584,5.16235444,0.52679429,-1.279313,0.92773302,1.62225222
2025-06-27,000001,11.2,11.93,11.07,11.57,892499007.0,10825161124.0,19405571850.0,0.0459918941785782,2026-07-24,84.38132258959534,77.92914424106571,97.28567928665458,10.840208333333333,0.1497916666666672,0.21245050409310196,0.11253079807230841,0.09991970602079354,100.0,100.0,10.23,10.56,1,236752202015.6,236747976570.0,5.42114403,5.31931792,0.54281169,-1.31821103,0.95594112,1.67157746
2025-07-04,000001,11.51,12.06,11.34,11.95,662899121.0,8153561403.0,19405600653.0,0.034160195958557696,2026-07-24,87.79893050688467,81.2190729963387,100.95864552797661,11.034999999999998,0.19479166666666536,0.2889042776397517,0.14780549398579707,0.14109878365395462,100.0,100.0,10.29,10.65,1,244514569294.8,244510568227.8,5.59888646,5.49372179,0.5555773,-1.36143106,0.98728345,1.72638328
2025-07-11,000001,11.95,12.64,11.95,12.24,871751483.0,11281222083.0,19405600653.0,0.0449226745715407,2026-07-24,86.33345021344178,82.92386540203972,93.15261983624589,11.245937499999997,0.21093749999999822,0.3686455044624566,0.19197349608112896,0.17667200838132763,100.0,99.99999999999999,10.35,10.76,1,250530403936.18,250526304430.23,5.73663684,5.62888478,0.56924626,-1.39492659,1.01157376,1.76885779
2025-07-18,000001,12.21,12.49,11.85,12.04,779713846.0,9952028414.0,19405600653.0,0.040179835705289296,2026-07-24,81.79805771805208,82.54859617404384,80.29698080606858,11.393958333333332,0.1480208333333355,0.4109653202983381,0.23577186092457078,0.17519345937376732,77.77777777777767,92.30769230769226,10.41,10.88,1,246455161114.6,246451128293.1,5.64332206,5.53732275,0.55998664,-1.37223607,0.99511904,1.74008473
2025-07-25,000001,11.99,12.05,11.68,11.71,745239301.0,9285930775.0,19405600653.0,0.0384033101745184,2026-07-24,73.51351996018288,79.53690410275685,61.46675167503494,11.452395833333332,0.05843750000000014,0.41311371936863495,0.2712402326133836,0.14187348675525135,5.357142857143056,79.61538461538464,10.47,10.98,1,239663089745.3,239659168064.55,5.48779744,5.38471937,0.54455394,-1.33441854,0.9676945,1.69212964
2025-08-01,000001,11.71,11.99,11.52,11.65,666849262.0,8266235206.0,19405600653.0,0.034363752708520504,2026-07-24,66.16587605188663,75.07989475246677,48.337838650726326,11.460624999999997,0.008229166666664511,0.4053027645733547,0.2980527390053778,0.10725002556797686,25.00000000000017,77.3076923076923,10.52,11.08,1,238304675471.44,238300776018.84,5.45669251,5.35419869,0.5414674,-1.32685503,0.96220959,1.68253862
2025-08-08,000001,11.61,11.88,11.58,11.76,440706450.0,5469560203.0,19405600653.0,0.0227102710130163,2026-07-24,62.24529906049781,70.80169618847712,45.13250480453917,11.48333333333333,0.022708333333333997,0.4033391644964439,0.319110024103591,0.0842291403928529,100.0,81.53846153846152,10.58,11.16,1,240633385655.2,240629448097.2,5.51001524,5.40651985,0.54675861,-1.33982104,0.97161229,1.69898037
2025-08-15,000001,11.76,11.78,11.32,11.46,592376663.0,7234240083.0,19405600653.0,0.030526066860415098,2026-07-24,51.828250055926425,64.47721414429355,26.530321879192172,11.470208333333332,-0.013124999999998721,0.37327264974107166,0.3299425492310871,0.04333010050998454,31.818181818181984,70.00000000000001,10.62,11.23,1,234423491831.84,234419655888.24,5.3678213,5.26699676,0.53264871,-1.30524502,0.94653842,1.65513571
2025-08-22,000001,11.44,11.56,11.36,11.44,604233481.0,7295857588.0,19405600653.0,0.0311370666543414,2026-07-24,42.40779303091484,57.12074043983398,12.981898213076562,11.443645833333333,-0.026562499999998934,0.34386700257100955,0.3327274398990716,0.011139562671937941,27.272727272727124,69.2307692307692,10.66,11.28,1,234035373467.88,234031543875.18,5.35893418,5.25827657,0.53176684,-1.30308402,0.94497131,1.65239542
2025-08-29,000001,11.49,11.88,11.35,11.43,974744925.0,11916876947.0,19405600653.0,0.0502300826668462,2026-07-24,31.049639798387656,48.43037355935187,-3.711827723540779,11.4090625,-0.034583333333333854,0.3161119570380997,0.32940434332687724,-0.013292386288777547,78.57142857142784,68.84615384615383,10.7,11.32,1,233841314285.9,233837487868.65,5.37578598,5.25391647,0.53132591,-1.30200351,1.88132614,1.6829412
2025-09-05,000001,11.43,11.43,11.0,11.12,683336875.0,8085143760.0,19405600653.0,0.0352133843841806,2026-07-24,23.138784255835656,39.999843791513136,-10.583334815519308,11.365520833333331,-0.04354166666666792,0.26603479079963144,0.3167304328214281,-0.05069564202179666,27.272727272727124,49.77578475336319,10.72,11.34,1,227437361280.56,227433639653.16,5.22856528,5.11003328,0.51677507,-1.26634699,1.82980435,1.63685236
2025-09-12,000001,11.11,11.27,11.07,11.12,448195533.0,5266187962.0,19405600653.0,0.0230961948055293,2026-07-24,18.110419928946346,32.70336917065754,-11.075478554476035,11.321562499999999,-0.04395833333333243,0.22376880823901324,0.2981381079049451,-0.07436929966593187,27.906976744185883,49.77578475336319,10.74,11.35,1,227437361280.56,227433639653.16,5.22856528,5.11003328,0.51677507,-1.26634699,1.82980435,1.63685236
2025-09-19,000001,11.1,11.12,10.78,10.86,454037561.0,5252098648.0,19405600653.0,0.0233972433587003,2026-07-24,14.173350818772628,26.526696386695903,-10.533340317073922,11.226249999999999,-0.09531250000000036,0.16736362180845354,0.2719832106856468,-0.10461958887719325,23.529411764705912,38.116591928251104,10.75,11.33,1,222197763367.1,222194127476.85,5.10811199,4.99231067,0.50486985,-1.23717346,1.78765015,1.5991433
2025-09-26,000001,10.85,11.02,10.74,10.81,460393070.0,5272504641.0,19405600653.0,0.0237247523656951,2026-07-24,11.315567212515091,21.456319995302298,-8.965938353059322,11.157916666666667,-0.06833333333333158,0.11727564244766242,0.24104169703804992,-0.1237660545903875,18.42105263157907,35.87443946188343,10.75,11.31,1,221227467457.2,221223847444.2,5.08580582,4.97051019,0.50266517,-1.23177096,1.77984382,1.59216014
