date,symbol,open,high,low,close,volume,K,D,J,BBI,BBI_DIF,DIF,DEA,MACD,short_term_fund,long_term_fund,Short_LS,Short_Trend,Brick_High,Brick_Low,market_cap,float_market_cap,pe_ttm,pb
2024-09-30,00001,41.9666,42.5721,41.4542,41.6405,19063721.0,81.06766814470022,80.03456993944907,83.1338645552025,40.7215760416667,0.1474635416666672,0.9611234106480353,0.785630159903769,0.17549325074426625,90.90495088153052,96.57100809418705,38.51,39.94,117.46223677774219,119.4316261189394,,,,
2024-10-02,00001,40.5693,42.2926,40.5693,42.1063,14399572.0,82.08718770533629,80.71877586141147,84.82401139318591,40.976502083333365,0.2549260416666641,1.0076723902659168,0.8300386059761986,0.1776337842897182,100.0,100.0,38.67,40.14,121.40687084322349,117.46223677774219,,,,
2024-10-03,00001,42.5255,42.5721,41.3611,41.7803,11101599.0,77.36650505533315,79.60135225938537,72.8968106472287,41.096890625000036,0.12038854166667079,1.006653244493421,0.8653615336796431,0.141291710813778,78.7898503578399,92.59595730183965,38.83,40.33,119.32056818851821,121.40687084322349,,,,
2024-10-04,00001,41.4542,42.3392,41.035,42.2461,8507532.0,80.2449950973608,79.81589987204384,81.10318554799471,41.273089583333366,0.17619895833333032,1.0315407713725975,0.898597381218234,0.13294339015436352,100.0,100.0,38.98,40.52,124.06163020885106,119.32056818851821,,,,
2024-10-07,00001,42.3858,43.1776,41.8734,42.6187,7360610.0,80.48116903255531,80.037656258881,81.36819457990393,41.46918437500003,0.19609479166666688,1.0690071725300996,0.9326793394806071,0.13632783304949248,100.0,100.0,39.14,40.72,126.63327500578555,124.06163020885106,,,,
2024-10-08,00001,43.0845,43.0845,40.2898,40.6158,15539824.0,57.88666448771588,72.65399233515929,28.352008792829082,41.349411458333364,-0.119772916666669,0.9264032740349251,0.9314241263914707,-0.005020852356545591,13.99802481858392,59.25255320014652,39.22,40.85,110.14401818789028,126.63327500578555,,,,
2024-10-09,00001,41.3145,41.3145,38.9856,40.1035,12489114.0,47.48026360249761,64.26274942427206,13.9152919589487,41.0981135416667,-0.25129791666666534,0.7632520341992759,0.8977897079530317,-0.1345376737537558,30.769865954694314,48.8302071042031,39.26,40.91,100.57798252321288,110.14401818789028,,,,
2024-10-10,00001,40.6624,41.5008,40.4761,40.7556,9290922.0,45.727936549247794,58.08447846593064,21.0148527158821,40.90691770833337,-0.19119583333333168,0.6787483330835968,0.8539814329791448,-0.17523309989554792,100.0,62.09667575375358,39.32,40.94,96.77369037293431,100.57798252321288,,,,
2024-10-14,00001,40.7556,40.8021,39.3117,40.0103,8126971.0,38.633350829269546,51.60076925371027,12.6985139803881,40.777280208333366,-0.12963750000000118,0.5453525748524157,0.792255661353799,-0.24690308650138326,57.8926553672317,46.93412540179849,39.33,40.94,88.6722629339744,96.77369037293431,,,,
2024-10-15,00001,40.0103,40.2432,38.7993,39.1253,11843078.0,28.23750465337245,43.813014386930995,-2.9135148137446407,40.5152885416667,-0.26199166666666684,0.36402709390374355,0.706609947863788,-0.3425828539600444,16.664110821448688,28.929486918663887,39.32,40.87,78.15262618777821,88.6722629339744,,,,
2024-10-16,00001,39.0322,39.498,38.7993,38.8459,7448185.0,19.179783115799967,35.601937296553984,-13.664525245708063,40.15138645833336,-0.3639020833333362,0.1955261946544553,0.6043931972219214,-0.4088670025674661,3.848059454995709,10.000000000000085,39.29,40.76,66.29615428831102,78.15262618777821,,,,
2024-10-17,00001,39.1719,39.498,38.3335,38.5198,8175256.0,14.068493960521929,28.42412285120997,-14.64276382085415,39.8723104166667,-0.2790760416666629,0.03526792664256817,0.4905681431060508,-0.4553002164634826,23.528668855771055,4.347521702604216,39.25,40.61,57.775200527384015,66.29615428831102,,,,
2024-10-18,00001,38.4267,39.4048,38.4267,39.1253,6515466.0,14.827548508379872,23.891931403599937,-3.301217282060257,39.7896697916667,-0.08264062500000335,-0.04239046483845499,0.3839764215171496,-0.4263668863556046,100.0,18.477550639410126,39.24,40.47,59.83646183754573,57.775200527384015,,,,
2024-10-21,00001,38.939,39.2651,38.7527,38.9856,5642495.0,14.460209494606419,20.7480241006021,1.8845802826150617,39.6692229166667,-0.12044687499999895,-0.1138950112712962,0.28440213495946043,-0.3982971462307566,82.35665572114114,15.217492765798513,39.21,40.32,65.4217952925558,59.83646183754573,,,,
2024-10-22,00001,38.7527,39.5911,38.7527,39.1253,5526527.0,17.973209891130626,19.823086030778274,14.273457611835333,39.6318604166667,-0.03736250000000041,-0.15747498341929145,0.19602671128371005,-0.3535016947030015,100.0,18.477550639410126,39.18,40.18,71.93626228082583,65.4217952925558,,,,
2024-10-23,00001,39.1719,39.6377,38.8925,39.0322,4215082.0,19.33540611628794,19.660526059281494,18.685166230300823,39.5532666666667,-0.07859374999999602,-0.19725103016293843,0.11737116299438034,-0.31462219315731876,75.01341921631821,16.304956594791445,39.15,40.05,73.76981214745452,71.93626228082583,,,,
2024-10-24,00001,38.6596,39.0788,38.613,38.9856,4715553.0,21.695531485772836,20.338861201445273,24.408872054427967,39.47369375000003,-0.07957291666667032,-0.22988410347875998,0.04792010969975227,-0.2778042131785122,72.7308217841101,15.217492765798513,39.12,39.93,71.53389037624403,73.76981214745452,,,,
2024-10-25,00001,38.7061,39.1253,38.6596,38.8925,2842850.0,24.220892104651778,21.632871502514107,29.396933308927117,39.42276250000003,-0.050931249999997874,-0.26025834492586597,-0.013715581225371372,-0.2465427637004946,66.67461832060982,13.044898721179829,39.08,39.81,67.15083231602398,71.53389037624403,,,,
2024-10-28,00001,38.8925,39.0788,38.5198,38.9856,3559440.0,32.81392806976776,25.35989035826533,47.72200349277262,39.368905208333366,-0.05385729166666664,-0.27366313984965984,-0.06570509295022907,-0.20795804689943076,100.0,15.217492765798513,39.04,39.7,67.46579096829333,67.15083231602398,,,,
2024-10-29,00001,39.1719,39.5445,38.5198,38.7061,5167137.0,31.39903132883045,27.372937348453704,39.451219289583946,39.269920833333366,-0.09898437500000057,-0.3033431000908138,-0.11323269437834602,-0.19011040571246776,39.99570631172224,8.695043405208597,39.01,39.6,61.18750807909832,67.46579096829333,,,,
2024-10-30,00001,38.3335,38.6596,38.1006,38.3801,7211338.0,26.993885045668335,27.24658658085858,26.488481975287847,39.134553125000025,-0.13536770833334089,-0.3491454267744416,-0.16041524085756514,-0.18873018591687646,31.58192090395473,6.1862287244638,38.99,39.49,56.22029348685659,61.18750807909832,,,,
2024-10-31,00001,38.4267,38.6596,38.0075,38.1006,4675700.0,19.899575267430787,24.79758280971598,10.103560182860399,38.96473437500003,-0.16981874999999746,-0.4033478715918193,-0.20900176700441597,-0.1943461045874033,13.326653306613208,2.0189972241498917,38.93,39.37,48.301374884295,56.22029348685659,,,,
2024-11-01,00001,37.9143,38.4733,37.9143,38.2404,2434332.0,19.573683035816938,23.056282885082965,12.60848333728488,38.85266562500003,-0.11206874999999883,-0.4300654808180653,-0.2532145097671458,-0.17685097105091946,70.00858737655705,6.931808519683782,38.88,39.26,45.44952770252033,48.301374884295,,,,
2024-11-04,00001,38.2869,38.3801,37.9143,38.3335,3441957.0,21.157125582734526,22.423230450966816,18.62491584626995,38.78570520833336,-0.0669604166666673,-0.4386702688919826,-0.2903056615921132,-0.1483646072998694,100.0,8.910806904174892,38.86,39.15,53.025030924258274,45.44952770252033,,,,
2024-11-05,00001,38.2869,38.613,38.1472,38.5198,5007375.0,26.485644348330982,23.77736841675487,31.902196211483208,38.756108333333366,-0.029596874999995748,-0.4255512821249141,-0.31735478569867337,-0.10819649642624074,100.0,12.870929342742949,38.84,39.05,66.26215554184886,53.025030924258274,,,,
2024-11-06,00001,38.3335,38.6596,37.7746,38.2404,7414926.0,26.429719920941327,24.661485584817026,29.966188593189933,38.680909375000034,-0.07519895833333123,-0.43271160551680765,-0.3404261496623002,-0.09228545585450743,62.50670960815935,15.625628983562606,38.81,38.96,69.44525998635453,66.26215554184886,,,,
2024-11-07,00001,37.728,38.6596,37.728,38.5198,4905298.0,32.149586654331486,27.157519274655176,42.13372141368411,38.65567708333336,-0.02523229166667562,-0.4111020400202392,-0.35456132773388804,-0.05654071228635116,100.0,26.152728233584195,38.79,38.89,81.19002453032579,69.44525998635453,,,,
2024-11-08,00001,38.8459,39.0322,38.2869,38.4267,4823856.0,34.2544175273302,29.52315202554685,43.7169485308969,38.60910625000003,-0.04657083333332679,-0.39691332585603334,-0.3630317273583171,-0.033881598497716214,88.24198029805503,23.07768529528324,38.75,38.82,82.42545300823565,81.19002453032579,,,,
2024-11-11,00001,37.7746,38.0541,37.728,38.0541,4952556.0,31.17088960749571,30.07239788619647,33.36787305009419,38.51886458333337,-0.09024166666666389,-0.41099666004811297,-0.37262471389627627,-0.0383719461518367,41.18464258651159,14.288218025675715,38.72,38.75,75.66065349321323,82.42545300823565,,,,
2024-11-12,00001,37.8677,38.1472,37.1691,37.5417,8575488.0,27.446901911768972,29.197232561387306,23.9462406125323,38.34420104166669,-0.17466354166667486,-0.45822210239178673,-0.3897441915953784,-0.06847791079640836,29.62786259541981,19.047132195071978,38.65,38.67,68.68107456191497,75.66065349321323,,,,
2024-11-13,00001,37.2157,37.402,36.8896,37.2622,7067603.0,24.09463021131837,27.496365111364327,17.291160411226457,38.12925833333336,-0.21494270833333218,-0.512296484827516,-0.4142546502418059,-0.09804183458571009,31.996565049377374,16.665921187994734,38.58,38.56,62.11602007567262,68.68107456191497,,,,
2024-11-14,00001,37.1225,37.2157,36.7033,36.8896,6001074.0,18.729581719306534,24.574103980678398,7.040537196562802,37.89781875000003,-0.2314395833333336,-0.5785473943161676,-0.44711319905667823,-0.1314341952594894,22.22089694656522,7.691990090834124,38.5,38.44,55.32446554226482,62.11602007567262,,,,
2024-11-15,00001,37.1691,38.0541,36.9362,37.4951,6391399.0,23.81934901057524,24.322518990644014,22.8130090504377,37.80660208333336,-0.09121666666666783,-0.575558250533021,-0.4728022093519468,-0.10275604118107423,100.0,32.691990090834054,38.43,38.32,61.20072120633486,55.32446554226482,,,,
2024-11-18,00001,37.728,38.0541,37.1225,37.2622,3960781.0,23.879050742332918,24.174696241206984,23.287759744584783,37.72120729166669,-0.08539479166667263,-0.5852361777623685,-0.4952890030340311,-0.08994717472833735,70.58600656731495,23.07597027250208,38.38,38.21,62.32303427227541,61.20072120633486,,,,
2024-11-19,00001,37.5883,37.7746,37.3554,37.5417,3234422.0,27.919309909920006,25.422900797444658,32.912128134870706,37.72605729166669,0.004850000000004684,-0.5638529449333731,-0.5090017914138996,-0.05485115351947356,100.0,34.6160198183319,38.34,38.11,68.9896551197522,62.32303427227541,,,,
2024-11-20,00001,37.5417,37.6814,37.2622,37.4951,3050161.0,29.94583447098422,26.930545355291176,35.976412702370304,37.695975000000026,-0.030082291666666094,-0.5443914041706748,-0.5160797139652546,-0.028311690205420126,88.88358778625994,33.99888359311265,38.29,38.03,71.23608632461377,68.9896551197522,,,,
2024-11-21,00001,37.3554,37.728,37.0759,37.4951,3019458.0,38.243087191012414,30.701392633864923,53.32647630530739,37.68675833333336,-0.009216666666667095,-0.5229398676281534,-0.5174517446978344,-0.005488122930318973,89.99570631172223,34.69307277746143,38.25,37.95,71.17643000296543,71.23608632461377,,,,
2024-11-22,00001,37.3554,37.8677,36.9362,37.1691,4941608.0,36.248675390771716,32.550486886167185,43.64505239998077,37.62611354166669,-0.06064479166666814,-0.5261793775435208,-0.5191972712669717,-0.00698210627654916,41.67113973877263,20.409236296718298,38.21,37.88,66.20623022571043,71.17643000296543,,,,
2024-11-25,00001,37.2157,37.5417,36.843,37.0759,6605052.0,33.36033497080958,32.820436247714646,34.44013241699945,37.52228437500002,-0.10382916666667086,-0.530155866764467,-0.5213889903664708,-0.008766876397996226,35.71538107652118,16.32563641940142,38.16,37.8,61.41947778262224,66.20623022571043,,,,
2024-11-26,00001,37.0759,37.5883,37.0759,37.402,5652149.0,39.481857900784576,35.04091013207129,48.36375343821115,37.48202187500003,-0.0402624999999901,-0.5012160122593414,-0.517354394745045,0.01613838248570354,100.0,34.886159376872484,38.14,37.74,66.22036951396787,61.41947778262224,,,,
2024-11-27,00001,37.4951,37.728,37.1691,37.728,3523154.0,50.6792602337491,40.25369349929722,71.53039370265286,37.51646562500003,0.034443750000001216,-0.4468247756839929,-0.5032484709328345,0.05642369524884161,100.0,56.410679878888196,38.11,37.69,79.06094480225678,66.22036951396787,,,,
2024-11-28,00001,37.728,37.9609,37.3088,37.4485,2680842.0,50.451463996418475,43.65295033167097,64.04849132591347,37.52859062500003,0.012124999999997499,-0.42141483505449173,-0.486881743757166,0.06546690870267424,57.138475693912454,41.02394715111505,38.08,37.65,80.9252607699836,79.06094480225678,,,,
2024-11-29,00001,37.4485,38.1006,37.4485,37.728,4950893.0,57.09168846580571,48.13252970971589,75.01000597798536,37.562065625000024,0.0334749999999957,-0.37440801735269247,-0.4643869984762713,0.08997898112357883,100.0,56.410679878888196,38.07,37.63,85.2070301691817,80.9252607699836,,,,
2024-12-02,00001,37.9609,38.3335,37.728,37.9143,3917254.0,62.01952886426621,52.761529427899326,80.53552773699998,37.62174062500002,0.05967499999999859,-0.3184510175310251,-0.43519980228722205,0.11674878475619693,100.0,66.66666666666667,38.07,37.63,88.98186198783506,85.2070301691817,,,,
2024-12-03,00001,38.1006,38.7993,37.7746,38.7527,8921160.0,73.8856699951145,59.80290961697105,102.0511907514014,37.830371875000026,0.20863125000000338,-0.2041000801490256,-0.3889798578595828,0.1848797777105572,100.0,100.0,38.11,37.66,101.36871802077644,88.98186198783506,,,,
2024-12-04,00001,38.7527,39.0788,38.3801,39.0322,3747105.0,81.89569161674483,67.16717028356231,111.35273428310984,38.05355937500003,0.22318750000000165,-0.0898866667568683,-0.3291612196390399,0.2392745528821716,100.0,100.0,38.16,37.73,111.94804236419193,101.36871802077644,,,,
2024-12-05,00001,39.0788,39.2185,38.7061,39.1719,3701811.0,87.27656365272644,73.87030140661703,114.08908814494524,38.262187500000024,0.20862812499999706,0.011765285806859538,-0.26097591854986,0.27274120435671956,100.0,100.0,38.21,37.82,120.91093219831725,111.94804236419193,,,,
2024-12-06,00001,39.3117,39.7309,39.2185,39.4514,4874738.0,88.00860677915598,78.58306986413002,106.85968060920791,38.45626770833336,0.1940802083333324,0.11356934794874007,-0.18606686525014,0.29963621319888006,100.0,99.99999999999999,38.27,37.94,125.51546960975139,120.91093219831725,,,,
2024-12-09,00001,39.498,40.1966,39.2185,40.1966,7752414.0,92.00573785277066,83.05729252701023,109.90262850429153,38.7299072916667,0.2736395833333418,0.2514822815590563,-0.09855703588830073,0.350039317447357,100.0,100.00000000000001,38.35,38.09,133.53024934513246,125.51546960975139,,,,
2024-12-10,00001,40.9885,41.0816,39.7774,39.824,8425143.0,83.55938079073597,83.22465528158547,84.22883180903696,38.935626041666694,0.2057187499999955,0.32694475340122864,-0.013456678030394853,0.3404014314316235,61.90573560985591,89.33386768957723,38.42,38.25,125.72026724524295,133.53024934513246,,,,
2024-12-11,00001,40.1501,40.3829,39.498,39.6843,5418079.0,76.21949783028685,80.88960279781926,66.87928789522203,39.06032291666669,0.12469687499999793,0.3711977469710064,0.0634742069698854,0.307723540001121,47.62294243942364,85.33478372885247,38.48,38.4,113.17461385956597,125.72026724524295,,,,
2024-12-12,00001,39.7774,40.2432,39.7309,39.9637,4556045.0,73.03488945683246,78.27136501749033,62.56193833551674,39.14910625000003,0.08878333333333899,0.42392704111290413,0.13556477379848914,0.288362267314415,100.0,93.33295165030218,38.56,38.56,106.84151555988029,113.17461385956597,,,,
2024-12-13,00001,39.6377,39.824,39.2185,39.5445,3922337.0,66.52986179492892,74.35753060996986,50.87452416484703,39.19470833333337,0.045602083333335486,0.42696763292079254,0.1938453456229498,0.23312228729784273,43.74664519592039,80.55522423664127,38.62,38.69,95.2225912254187,106.84151555988029,,,,
2024-12-16,00001,39.1253,39.4514,38.4733,38.7061,6107028.0,48.37569785649959,65.69691969214644,13.733254185205908,39.1204666666667,-0.07424166666666565,0.3576032232783035,0.22659692115402055,0.13100630212428296,15.619967793880656,55.55522423664121,38.64,38.79,83.89697818140549,95.2225912254187,,,,
2024-12-17,00001,38.4733,38.8459,38.1938,38.4733,6694676.0,35.476681272941214,55.623506885744696,-4.816969952665758,38.95260520833336,-0.16786145833334132,0.28061169750964865,0.23739987642514618,0.04321182108450247,20.69297401347446,48.6134303435115,38.65,38.84,74.63798494057725,83.89697818140549,,,,
2024-12-18,00001,38.4733,38.6596,37.8677,38.3335,6763986.0,28.482219098936042,46.57641095680848,-7.7061646168088345,38.81335833333336,-0.13924687499999777,0.20594071068224196,0.23110804327656534,-0.025167332594323383,55.55820610687041,44.44477576335879,38.66,38.85,69.50376769649364,74.63798494057725,,,,
2024-12-19,00001,37.9609,38.3335,37.6349,38.0541,5803098.0,23.042265465189445,38.73169579293547,-8.336595190302603,38.68236875000002,-0.13098958333333854,0.12280257900057734,0.20944695042136774,-0.0866443714207904,49.999999999999574,36.11343034351137,38.66,38.84,64.7982642015416,69.50376769649364,,,,
2024-12-20,00001,37.9609,38.0075,37.6349,37.8212,5380303.0,17.163233697714382,31.542208427861777,-11.594715762580407,38.51935000000003,-0.163018749999992,0.03768748917590159,0.1750950581722745,-0.1374075689963729,26.66762095619753,29.168654580152552,38.65,38.8,58.537031832178485,64.7982642015416,,,,
2024-12-23,00001,38.0075,38.6596,37.9609,38.613,4020775.0,23.306542018757654,28.796986291493738,12.325653473285485,38.5033447916667,-0.016005208333332632,0.033735923197298234,0.14682323117727925,-0.11308730797998101,100.0,52.77910305343511,38.66,38.76,75.36105340983977,58.537031832178485,,,,
2024-12-24,00001,38.7527,39.0788,38.613,38.7993,1999516.0,30.41839602998776,29.33745620432508,32.580275681313125,38.569328125000034,0.06598333333333528,0.04511705044258463,0.12648199503034033,-0.0813649445877557,100.0,55.22478931009086,38.66,38.74,85.2636007753103,75.36105340983977,,,,
2024-12-27,00001,38.5198,39.3117,38.5198,38.939,3075686.0,40.13640636159342,32.93710625674786,54.53500657128454,38.6707229166667,0.10139479166666376,0.0646638931510779,0.11411837465448785,-0.04945448150340995,100.0,58.46077621800172,38.66,38.73,92.803186972788,85.2636007753103,,,,
2024-12-30,00001,38.939,39.1719,38.4267,38.5664,3267427.0,43.85091555402679,36.575042689174175,58.40266128373203,38.66489895833337,-0.005823958333330381,0.049518383670260846,0.10119837645764244,-0.0516799927873816,27.26917821588989,43.54872221067956,38.64,38.72,90.06355015197515,92.803186972788,,,,
2024-12-31,00001,38.5664,38.9856,38.5664,38.6596,2190255.0,49.60409319377859,40.91805952404231,66.97616053325113,38.6736354166667,0.008736458333331143,0.04452268953377825,0.08986323907286961,-0.04534054953909136,45.461643568221604,44.07044867362896,38.62,38.71,82.71516541312394,90.06355015197515,,,,
2025-01-02,00001,38.4733,38.6596,37.9143,38.2404,4164402.0,45.10621162027986,42.314110222788166,50.69041441526325,38.605716666666694,-0.06791875000000402,0.0066608472384288575,0.07322276070598147,-0.06656191346755261,43.754192942439786,23.636647538743823,38.59,38.69,75.76021104455353,82.71516541312394,,,,
2025-01-03,00001,38.5664,38.7061,38.1006,38.3335,2627730.0,43.958371360084776,42.8621972685537,46.15071954314692,38.55574062500003,-0.04997604166666747,-0.015652115782010867,0.055447785408382994,-0.07109990119039386,56.24580705756117,27.270952882851248,38.57,38.66,72.68149994564914,75.76021104455353,,,,
2025-01-06,00001,38.613,38.939,38.1472,38.4733,3892729.0,45.97224757338986,43.89888070349909,50.11898131317139,38.5324572916667,-0.023283333333324663,-0.021803273524156452,0.0399975736218751,-0.061800847146031554,100.0,32.728266385603376,38.55,38.64,75.28145128325443,72.68149994564914,,,,
2025-01-07,00001,38.5664,38.8459,37.8677,38.2404,4598793.0,39.25158148475301,42.34978096391706,33.0551825264249,38.50383437500003,-0.02862291666667005,-0.04495300368083832,0.023007458161332418,-0.06796046184217074,61.542272126816414,23.636647538743823,38.53,38.61,72.58847269930814,75.28145128325443,,,,
2025-01-08,00001,38.1938,38.2869,37.6349,37.7746,5808409.0,28.944836129784406,37.88146601920618,11.071576350940859,38.41116875000003,-0.0926656250000022,-0.09973580646819613,-0.0015411947645732928,-0.09819461170362284,16.662690839694385,5.45340984502471,38.52,38.56,63.613473935721856,72.58847269930814,,,,
